Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,HourlyRate,EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,OverTime,PercentSalaryHike,WorkLifeBalance,MonthlyIncome,TrainingTimesLastYear,NumCompaniesWorked,MaritalStatus,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsInCurrentRole,YearsWithCurrManager,TWYears_zscore,YearsAtCompany_zscore,YearsInCurrentRole_zscore,YearsWithCurrManager_zscore,YearsSinceLastPromotion_zscore,Cluster
27.0,Yes,1,Sales,Far,2,Medical,59,1,1,2,4,Yes,14,2,4298.0,1.0,6,0,3.0,7,2.0,2,2,2,-0.5633300370839054,-0.8009460142746375,-0.6249624735907111,-0.6045248866821875,-0.06325600286110364,0
30.0,Yes,2,Sales,Far,4,Marketing,70,1,1,3,3,No,13,3,5304.0,2.0,2,1,4.0,10,8.0,0,0,0,-0.1761290992201721,0.7390235462261702,-1.1777483171607914,-1.1657732542732226,-0.682655386581575,0
56.0,No,0,Research & Development,Near,4,Technical Degree,60,4,1,2,4,No,11,2,6306.0,2.0,2,0,4.0,12,12.0,1,3,4,0.08200485935565012,1.7656699198933752,-0.3485695518056709,-0.04327651909115238,-0.37295569472133927,2
41.0,Yes,2,Human Resources,Far,5,Human Resources,89,4,1,1,1,No,17,3,6430.0,4.0,0,1,3.0,2,2.0,0,0,0,-1.208664933523461,-0.8009460142746375,-1.1777483171607914,-1.1657732542732226,-0.682655386581575,2
42.0,No,2,Research & Development,Near,3,Life Sciences,76,4,1,1,4,No,22,3,2766.0,6.0,3,1,4.0,12,5.0,1,3,0,0.08200485935565012,-0.03096123402423368,-0.3485695518056709,-1.1657732542732226,-0.37295569472133927,0
42.0,No,0,Sales,Near,3,Life Sciences,44,3,1,3,4,No,21,2,4332.0,2.0,9,0,3.0,10,10.0,0,4,1,-0.1761290992201721,1.2523467330597726,-0.0721766300206307,-0.8851490704777051,-0.682655386581575,2
37.0,No,2,Research & Development,Near,3,Other,58,3,1,5,3,No,11,2,4865.5,2.0,4,0,3.0,26,1.0,4,13,8,1.8889425693864055,-1.0576076076914387,2.4153596660447314,1.079220216090918,0.5561433808593677,0
41.0,No,2,Research & Development,Near,1,Medical,65,3,1,3,3,No,21,3,2238.0,2.0,7,2,4.0,9,5.0,2,3,2,-0.30519607850808317,-0.03096123402423368,-0.3485695518056709,-0.6045248866821875,-0.06325600286110364,0
18.0,No,2,Research & Development,Near,4,Other,81,3,1,2,3,No,11,4,1420.0,2.0,3,0,3.0,11,0.0,0,7,7,-0.04706211993226098,-1.31426920110824,0.7570021353344899,0.7985960322954003,-0.682655386581575,0
40.0,No,0,Sales,Near,3,Marketing,73,1,1,4,4,No,14,3,4876.0,5.0,5,1,3.0,28,3.0,2,0,2,2.1470765279622275,-0.5442844208578362,-1.1777483171607914,-0.6045248866821875,-0.06325600286110364,2
37.11526232114468,No,2,Sales,Near,4,Medical,31,3,1,2,4,No,14,2,8095.0,5.0,1,0,3.0,6,6.0,1,3,3,-0.6923970163718165,0.22570035939256758,-0.3485695518056709,-0.32390070288666994,-0.37295569472133927,2
35.0,Yes,2,Research & Development,Near,2,Life Sciences,67,1,1,1,2,Yes,13,3,2404.0,3.0,7,2,3.0,10,1.0,3,7,7,-0.1761290992201721,-1.0576076076914387,0.7570021353344899,0.7985960322954003,0.24644368899913202,0
26.0,No,1,Research & Development,Very far,3,Life Sciences,46,4,1,1,3,No,15,3,4741.0,3.0,0,2,3.0,6,5.0,4,4,3,-0.6923970163718165,-0.03096123402423368,-0.0721766300206307,-0.32390070288666994,0.5561433808593677,0
26.0,No,2,Research & Development,Near,4,Life Sciences,82,2,1,1,1,Yes,14,4,4420.0,2.0,9,1,4.0,6,6.0,0,1,0,-0.6923970163718165,0.22570035939256758,-0.9013553953757513,-1.1657732542732226,-0.682655386581575,0
40.0,No,2,Research & Development,Near,3,Life Sciences,91,4,1,5,2,No,12,3,19436.0,5.0,4,1,3.0,29,21.0,12,10,9,2.2761435072501386,4.075624260644587,1.5861809006896104,1.3598443998864354,3.033740915741253,1
51.0,No,1,Research & Development,Near,3,Life Sciences,90,4,1,2,4,No,15,4,19847.0,5.0,7,1,3.0,19,19.0,2,11,9,0.9854737143710278,3.562301073810984,1.8625738224746506,1.3598443998864354,-0.06325600286110364,1
55.0,Yes,2,Research & Development,Very far,2,Life Sciences,50,2,1,2,3,Yes,13,3,5415.0,4.0,3,1,3.0,8,8.0,0,0,1,-0.4342630577959943,0.7390235462261702,-1.1777483171607914,-0.8851490704777051,-0.682655386581575,2
30.0,No,2,Research & Development,Near,2,Life Sciences,95,4,1,2,3,No,11,2,4115.0,3.0,2,2,3.0,5,4.0,0,2,2,-0.8214639956597276,-0.28762282744103496,-0.6249624735907111,-0.6045248866821875,-0.682655386581575,0
37.11526232114468,No,2,Sales,Near,3,Medical,63,4,1,2,2,No,14,2,1393.0,2.0,2,1,3.0,17,1.0,0,6,8,0.7273397557952056,-1.0576076076914387,0.4806092135494497,1.079220216090918,-0.682655386581575,0
55.0,No,2,Research & Development,Near,3,Life Sciences,61,4,1,1,4,No,12,3,19636.0,0.0,0,0,3.0,4,4.0,0,0,2,-0.9505309749476386,-0.28762282744103496,-1.1777483171607914,-0.6045248866821875,-0.682655386581575,1
36.0,No,2,Research & Development,Near,4,Life Sciences,62,4,1,1,3,No,12,3,4941.0,0.0,3,0,4.0,14,3.0,5,3,7,0.3401388179314723,-0.5442844208578362,-0.3485695518056709,0.7985960322954003,0.8658430727196034,0
37.11526232114468,No,2,Research & Development,Very far,3,Life Sciences,95,4,1,4,3,Yes,18,3,2523.0,2.0,3,1,3.0,22,2.0,1,11,5,1.372674652234761,-0.8009460142746375,1.8625738224746506,0.23734766470436516,-0.37295569472133927,0
31.0,Yes,0,Sales,Near,3,Life Sciences,64,2,1,3,2,Yes,19,2,2321.0,0.0,9,2,4.0,10,3.0,7,7,7,-0.1761290992201721,-0.5442844208578362,0.7570021353344899,0.7985960322954003,1.4852424564400748,0
55.0,Yes,2,Research & Development,Near,3,Life Sciences,66,1,1,2,3,Yes,24,3,13695.0,3.0,1,2,3.0,9,9.0,0,7,6,-0.30519607850808317,0.9956851396429715,0.7570021353344899,0.5179718484998828,-0.682655386581575,1
27.0,No,2,Sales,Near,4,Medical,37,4,1,4,3,No,13,2,3041.0,3.0,0,2,3.0,38,4.0,1,10,8,3.4377463208413386,-0.28762282744103496,1.5861809006896104,1.079220216090918,-0.37295569472133927,0
39.0,No,2,Sales,Near,5,Marketing,37,2,1,2,4,No,14,3,4108.0,2.0,2,1,3.0,14,7.0,6,7,7,0.3401388179314723,0.4823619528093689,0.7570021353344899,0.7985960322954003,1.175542764579839,0
55.0,No,2,Research & Development,Near,4,Medical,62,2,1,5,3,Yes,11,2,19045.0,3.0,2,1,3.0,29,29.0,7,1,7,2.2761435072501386,6.128917007978997,-0.9013553953757513,0.7985960322954003,1.4852424564400748,1
47.0,No,1,Research & Development,Near,4,Medical,82,1,1,4,3,No,19,4,4865.5,3.0,3,1,3.0,26,5.0,5,17,6,1.8889425693864055,-0.03096123402423368,3.520931353184892,0.5179718484998828,0.8658430727196034,2
