Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,HourlyRate,EnvironmentSatisfaction,Gender,JobSatisfaction,OverTime,PercentSalaryHike,WorkLifeBalance,MonthlyIncome,TrainingTimesLastYear,NumCompaniesWorked,MaritalStatus,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole
27.0,Yes,1,Sales,15,2,Medical,59,1,1,4,Yes,14,2,4298.0,1.0,6,0,3.0,7,2.0,2
30.0,Yes,2,Sales,16,4,Marketing,70,1,1,3,No,13,3,5304.0,2.0,2,1,4.0,10,8.0,0
56.0,No,0,Research & Development,2,4,Technical Degree,60,4,1,4,No,11,2,6306.0,2.0,2,0,4.0,12,12.0,3
41.0,Yes,2,Human Resources,18,5,Human Resources,89,4,1,1,No,17,3,6430.0,4.0,0,1,3.0,2,2.0,0
42.0,No,2,Research & Development,1,3,Life Sciences,76,4,1,4,No,22,3,2766.0,6.0,3,1,4.0,12,5.0,3
42.0,No,0,Sales,7,3,Life Sciences,44,3,1,4,No,21,2,4332.0,2.0,9,0,3.0,10,10.0,4
37.0,No,2,Research & Development,5,3,Other,58,3,1,3,No,11,2,4865.5,2.0,4,0,3.0,26,1.0,13
41.0,No,2,Research & Development,10,1,Medical,65,3,1,3,No,21,3,2238.0,2.0,7,2,4.0,9,5.0,3
18.0,No,2,Research & Development,9,4,Other,81,3,1,3,No,11,4,1420.0,2.0,3,0,3.0,11,0.0,7
40.0,No,0,Sales,8,3,Marketing,73,1,1,4,No,14,3,4876.0,5.0,5,1,3.0,28,3.0,0
37.115262321144684,No,2,Sales,1,4,Medical,31,3,1,4,No,14,2,8095.0,5.0,1,0,3.0,6,6.0,3
35.0,Yes,2,Research & Development,1,2,Life Sciences,67,1,1,2,Yes,13,3,2404.0,3.0,7,2,3.0,10,1.0,7
26.0,No,1,Research & Development,22,3,Life Sciences,46,4,1,3,No,15,3,4741.0,3.0,0,2,3.0,6,5.0,4
26.0,No,2,Research & Development,5,4,Life Sciences,82,2,1,1,Yes,14,4,4420.0,2.0,9,1,4.0,6,6.0,1
40.0,No,2,Research & Development,10,3,Life Sciences,91,4,1,2,No,12,3,19436.0,5.0,4,1,3.0,29,21.0,10
51.0,No,1,Research & Development,1,3,Life Sciences,90,4,1,4,No,15,4,19847.0,5.0,7,1,3.0,19,19.0,11
55.0,Yes,2,Research & Development,23,2,Life Sciences,50,2,1,3,Yes,13,3,5415.0,4.0,3,1,3.0,8,8.0,0
30.0,No,2,Research & Development,2,2,Life Sciences,95,4,1,3,No,11,2,4115.0,3.0,2,2,3.0,5,4.0,2
37.115262321144684,No,2,Sales,2,3,Medical,63,4,1,2,No,14,2,1393.0,2.0,2,1,3.0,17,1.0,6
55.0,No,2,Research & Development,1,3,Life Sciences,61,4,1,4,No,12,3,19636.0,0.0,0,0,3.0,4,4.0,0
36.0,No,2,Research & Development,2,4,Life Sciences,62,4,1,3,No,12,3,4941.0,0.0,3,0,4.0,14,3.0,3
37.115262321144684,No,2,Research & Development,24,3,Life Sciences,95,4,1,3,Yes,18,3,2523.0,2.0,3,1,3.0,22,2.0,11
